Class Name,Count
wig,5715
ski,5652
bow tie,5617
alp,5124
plate,4780
racket,4552
seashore,4528
lakeshore,4223
ice pop,4169
baseball player,4110
sunscreen,3618
suit,3533
restaurant,3385
unicycle,3117
umbrella,3116
zebra,3097
traffic sign,3094
traffic light,3070
valley,2882
pizza,2736
fountain,2661
cliff,2312
square academic cap,2197
lab coat,2185
palace,2146
sink,2138
parachute,2135
swing,2095
volcano,2018
moped,1968
sunglasses,1964
notebook computer,1906
park bench,1904
poke bonnet,1873
toilet seat,1867
passenger car,1826
microwave oven,1794
hot dog,1768
airliner,1721
bubble,1715
bell-cot,1707
paddle,1699
stage,1689
Band-Aid,1655
dock,1655
shoal,1643
promontory,1638
mobile phone,1613
trolleybus,1600
church,1571
bakery,1568
breakwater,1517
African bush elephant,1515
tram,1507
prison,1506
soccer ball,1506
mountain bike,1484
teddy bear,1479
ram,1477
couch,1476
seat belt,1476
window shade,1452
pier,1433
ox,1411
bridegroom,1410
military uniform,1374
library,1356
sliding door,1351
vase,1348
banana,1347
grocery store,1345
dining table,1328
barbershop,1325
taxicab,1315
laptop computer,1312
bikini,1299
jeans,1279
baluster,1276
boathouse,1268
candle,1267
microphone,1259
swimming cap,1239
desk,1235
Asian elephant,1219
miniskirt,1211
pole,1211
scooter,1181
castle,1155
cowboy hat,1151
electric locomotive,1145
broccoli,1128
vault,1127
geyser,1125
barn,1114
analog clock,1108
quilt,1104
rugby ball,1093
pot,1084
lipstick,1075
common sorrel,1072
ping-pong ball,1065
television,1065
military aircraft,1037
flagpole,1017
barrette,1016
beer glass,1006
mask,1002
wing,998
fur coat,995
orange,992
gown,991
rapeseed,979
dome,977
horse-drawn vehicle,971
daisy,948
swimsuit,947
espresso,944
tricycle,944
stethoscope,939
crash helmet,933
spotlight,922
suspension bridge,915
dromedary,906
bell pepper,905
bee,904
mushroom,899
canoe,898
motorboat,896
crane (machine),891
home theater,874
paintbrush,870
jellyfish,866
scarf,866
cucumber,855
cloak,842
perfume,826
maze,813
pajamas,813
cheeseburger,808
movie theater,801
bra,796
shower curtain,794
cheetah,787
lion,775
snowmobile,771
parking meter,765
lighthouse,763
pretzel,760
syringe,760
sunglass,751
refrigerator,749
sweatshirt,748
Windsor tie,743
dam,734
tray,734
hair spray,730
crutch,727
tile roof,724
tabby cat,721
semi-trailer truck,720
Egyptian Mau,707
steam locomotive,706
four-poster bed,706
garbage truck,705
tiger,705
abaya,703
window screen,701
violin,700
patio,698
soup bowl,695
corn,695
torch,692
sombrero,688
rose hip,686
jigsaw puzzle,683
lemon,681
greenhouse,680
envelope,680
wall clock,675
split-rail fence,673
tandem bicycle,672
shoe store,671
T-shirt,670
stone wall,669
bathtub,665
eraser,665
desktop computer,665
sleeping bag,655
diaper,654
medicine chest,653
water buffalo,650
drilling rig,648
gazelle,644
ear of corn,640
bookstore,639
crossword,639
snorkel,636
chain-link fence,628
pill bottle,627
container ship,627
brown bear,626
stretcher,625
computer mouse,623
pinwheel,618
tights,618
match,618
hay,617
coil,611
cup,608
burrito,605
through arch bridge,605
shipwreck,605
sawmill,604
toy store,602
tent,601
car mirror,601
altar,594
harmonica,593
pulled rickshaw,592
balloon,585
bagel,584
red wine,582
tusker,581
minibus,581
wooden spoon,580
necklace,575
tub,573
cabbage,570
dumbbell,568
solar thermal collector,566
wardrobe,564
binoculars,563
bath towel,562
trench coat,559
meatloaf,558
baguette,557
picket fence,554
shovel,551
chain,549
fire engine,545
chocolate syrup,545
neck brace,541
gondola,540
impala,539
bib,534
strawberry,534
goblet,533
coral reef,532
pedestal,531
wool,529
dough,526
airship,525
potter's wheel,524
spatula,523
croquet ball,523
crayfish,521
trifle,519
plastic bag,519
computer keyboard,516
kite,516
balance beam,516
bottle cap,512
high-speed train,512
shower cap,512
ice cream,510
llama,509
tiger cat,504
flute,500
remote control,499
monastery,499
iPod,494
grand piano,491
front curtain,491
whistle,489
catamaran,489
fig,484
packet,480
snowplow,479
tench,478
megalith,478
wine bottle,474
mosque,470
feather boa,466
thatched roof,463
loupe,462
golf ball,458
triumphal arch,458
quill,454
maypole,448
carousel,447
fox squirrel,446
horizontal bar,446
rotisserie,446
sarong,443
volleyball,439
basketball,439
spider web,438
pomegranate,438
drumstick,428
honeycomb,428
kimono,425
obelisk,425
monitor,424
ladle,424
fireboat,423
mailbox,422
drum,422
tripod,421
nail,421
American black bear,420
plunger,418
reel,415
bookcase,414
upright piano,413
freight car,413
stupa,410
bison,406
doormat,406
running shoe,404
bald eagle,401
folding chair,400
padlock,399
backpack,399
coho salmon,397
Dungeness crab,397
tow truck,396
paper towel,394
acoustic guitar,393
dishwasher,391
stopwatch,390
tobacco shop,388
lighter,387
ocean liner,387
punching bag,385
sea urchin,383
conch,383
red fox,382
clothes iron,381
maraca,378
macaque,377
confectionery store,377
vacuum cleaner,375
schooner,375
beaker,374
gas mask,373
reflex camera,372
forklift,372
coral fungus,372
wok,371
Labrador Retriever,369
planetarium,367
school bus,367
mop,367
screwdriver,366
handkerchief,366
polar bear,362
baseball,362
American lobster,362
knot,362
screw,361
aircraft carrier,357
viaduct,357
tank suit,356
birdhouse,356
comic book,356
cauliflower,356
hare,356
rocking chair,355
scuba diver,354
pineapple,354
Granny Smith,353
turnstile,352
wheelbarrow,351
shoji,348
water bottle,346
butcher shop,345
eggnog,343
barrel,343
hair dryer,341
carbonara,340
pickup truck,338
automated teller machine,337
grey whale,336
hoop skirt,333
hook,332
strainer,332
scoreboard,329
bucket,329
hot pot,328
ski mask,327
bullock cart,326
stove,326
agaric,322
electric guitar,321
great white shark,321
lampshade,320
washing machine,318
cliff dwelling,317
chainsaw,315
ladybug,314
pirate ship,314
accordion,314
buckle,311
frying pan,311
gas pump,309
waste container,309
shopping cart,307
knee pad,307
guacamole,307
butternut squash,307
plow,307
face powder,304
tennis ball,303
horse chestnut seed,302
crate,301
sundial,300
switch,297
macaw,296
gossamer-winged butterfly,296
mortar,295
beer bottle,293
jeep,290
barbell,290
radio telescope,289
killer whale,287
toilet paper,285
velvet,283
terrapin,280
ant,280
ballpoint pen,280
magpie,279
leaf beetle,278
lawn mower,277
soda bottle,274
amphibious vehicle,273
bighorn sheep,272
cowboy boot,272
CRT screen,271
goose,271
salt shaker,271
acorn squash,269
moving van,269
vulture,268
hockey puck,267
hen-of-the-woods,265
infant bed,264
weighing scale,264
parallel bars,264
minivan,264
hummingbird,262
monarch butterfly,262
academic gown,259
chain mail,258
pencil sharpener,258
albatross,257
safety pin,257
vestment,257
bow,257
prayer rug,257
military cap,255
soap dispenser,254
coffee mug,254
projector,253
oxygen mask,253
nipple,252
bolo tie,251
pot pie,251
table lamp,250
space shuttle,250
mobile home,250
dust jacket,249
Alpine ibex,248
station wagon,247
warthog,247
Siamese cat,246
waffle iron,246
jaguar,244
slot machine,244
marimba,242
ocarina,242
mosquito net,242
abacus,241
water tower,240
small white,240
totem pole,240
bobsleigh,239
grille,239
poncho,238
recreational vehicle,237
ring-tailed lemur,237
carton,237
website,236
cleaver,235
shield,235
ostrich,235
harvester,235
football helmet,233
entertainment center,233
hartebeest,229
sports car,229
Petri dish,227
fire screen sheet,223
fountain pen,223
limousine,223
loggerhead sea turtle,222
coffeemaker,221
slip-on shoe,220
lifeboat,219
lens cap,217
apiary,217
hard disk drive,216
Persian cat,215
acorn,215
goldfish,215
tractor,214
mousetrap,213
ring binder,213
race car,212
wallaby,212
hamster,211
yawl,209
cradle,209
chime,209
clogs,209
joystick,207
barber chair,206
trimaran,206
oboe,205
sewing machine,203
corkscrew,203
lotion,200
billiard table,199
beaver,199
plectrum,198
pencil case,196
menu,196
dog sled,196
cardoon,195
cardigan,194
cocktail shaker,192
leopard,192
cannon,192
thimble,192
hamper,191
hand-held computer,190
zucchini,189
red king crab,189
snail,188
lorikeet,188
chest,188
steel drum,188
cello,187
pelican,186
throne,186
consomme,185
radiator,185
stick insect,183
Schipperke,182
go-kart,181
payphone,180
photocopier,179
golf cart,178
crane (bird),178
Golden Retriever,178
banjo,176
guillotine,176
car wheel,176
broom,174
typewriter keyboard,174
cauldron,174
shopping basket,173
great egret,173
convertible,173
Dutch oven,172
digital clock,172
hen,171
power drill,170
mashed potato,170
gong,168
Saluki,167
boa constrictor,166
green iguana,166
cottontail rabbit,165
sandal,165
toaster,164
bolete,163
police van,163
Border Collie,160
Italian Greyhound,159
house finch,159
great grey owl,159
submarine,159
ruler,158
sock,158
Chihuahua,158
peacock,158
ambulance,158
modem,158
purse,157
wallet,157
saxophone,156
apron,155
sea lion,155
missile,154
harp,154
sea anemone,154
Whippet,154
oscilloscope,153
tiger shark,152
pan flute,151
jay,151
paddle wheel,150
pillow,150
water jug,148
projectile,148
can opener,147
Christmas stocking,147
flamingo,146
red admiral,145
hourglass,144
disc brake,144
leatherback sea turtle,143
bulletproof vest,140
starfish,140
Ibizan Hound,140
Polaroid camera,140
Pembroke Welsh Corgi,139
cassette,139
espresso machine,138
tree frog,137
bustard,136
mixing bowl,135
American dipper,134
pug,133
nematode,131
bee eater,129
china cabinet,128
lynx,127
magnetic compass,127
Boston Terrier,127
plate rack,126
Crock Pot,125
speaker,124
Model T,124
jack-o'-lantern,123
goldfinch,123
electric fan,123
Indian cobra,122
Cardigan Welsh Corgi,120
dragonfly,120
teapot,119
bulbul,119
stingray,119
marmot,119
pig,118
chimpanzee,118
night snake,118
rifle,118
tool kit,118
custard apple,117
brambling,117
mitten,117
organ,116
bassoon,114
sulphur-crested cockatoo,114
hyena,114
German Shepherd Dog,114
hammerhead shark,114
Chesapeake Bay Retriever,113
spaghetti squash,113
assault rifle,112
duck,110
paper knife,110
manhole cover,110
vending machine,110
sea slug,109
brass,109
Groenendael,108
triceratops,108
cornet,108
Beagle,107
rotary dial telephone,107
chameleon,107
radio,106
fly,106
weevil,105
tick,105
printer,104
limpkin,104
spindle,104
revolver,104
French Bulldog,102
hatchet,101
agama,100
American robin,99
cockroach,98
Miniature Pinscher,98
water snake,98
giant panda,98
partridge,97
piggy bank,96
king penguin,96
ringlet,96
French horn,96
muzzle,95
Malinois,95
leafhopper,94
Staffordshire Bull Terrier,94
damselfly,94
bassinet,93
vine snake,93
quail,93
cock,92
West Highland White Terrier,92
hand plane,91
space heater,91
white-headed capuchin,91
weasel,91
kit fox,91
grey parrot,90
Angora rabbit,90
CD player,90
Great Dane,90
combination lock,89
European green lizard,89
coyote,89
trombone,88
orangutan,88
tarantula,88
box turtle,88
lionfish,88
baboon,88
mud turtle,88
Vizsla,88
African rock python,87
sulphur butterfly,87
hornbill,87
filing cabinet,87
rain barrel,86
snoek,85
yurt,85
hammer,84
earth star,84
mantis,83
artichoke,83
ring-necked snake,82
Weimaraner,82
black stork,81
white stork,81
milk can,80
Toy Poodle,79
black grouse,79
ruffed grouse,79
centipede,79
grey wolf,78
Rhodesian Ridgeback,78
toucan,78
Yorkshire Terrier,78
ptarmigan,78
stinkhorn mushroom,77
rock crab,77
overskirt,77
yellow lady's slipper,77
harvestman,77
American alligator,77
mail bag,77
dingo,77
Arctic fox,76
American coot,76
gorilla,76
koala,76
Nile crocodile,76
Samoyed,75
pufferfish,75
Afghan Hound,75
Boxer,75
hippopotamus,74
little blue heron,74
Dalmatian,73
langur,73
longhorn beetle,72
lacewing,72
American Staffordshire Terrier,72
Irish Terrier,72
eel,72
smooth green snake,72
brain coral,71
half-track,71
sea snake,70
sloth bear,70
indigo bunting,70
tank,70
garfish,69
clownfish,69
meerkat,69
Siberian Husky,69
safe,68
dishcloth,68
barn spider,67
Redbone Coonhound,67
trilobite,67
